time,RASIS,,,LASIS,,,RPSIS,,,LPSIS,,,RGT,,,LGT,,,RAsho,,,RPsho,,
0,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.373763,,,,,,,,,,,,,,,,,,,,,,,,
0.37574,,,,,,,,,,,,,,,,,,,,,,,,
0.377718,,,,,,,,,,,,,,,,,,,,,,,,
0.379696,,,,,,,,,,,,,,,,,,,,,,,,
0.381673,,,,,,,,,,,,,,,,,,,,,,,,
0.383651,,,,,,,,,,,,,,,,,,,,,,,,
0.385628,,,,,,,,,,,,,,,,,,,,,,,,
0.387606,,,,,,,,,,,,,,,,,,,,,,,,
0.389583,,,,,,,,,,,,,,,,,,,,,,,,
0.391561,,,,,,,,,,,,,,,,,,,,,,,,
0.393539,,,,,,,,,,,,,,,,,,,,,,,,
0.395516,,,,,,,,,,,,,,,,,,,,,,,,
0.397494,,,,,,,,,,,,,,,,,,,,,,,,
0.399471,,,,,,,,,,,,,,,,,,,,,,,,
0.401449,,,,,,,,,,,,,,,,,,,,,,,,
0.403427,,,,,,,,,,,,,,,,,,,,,,,,
0.405404,,,,,,,,,,,,,,,,,,,,,,,,
0.407382,,,,,,,,,,,,,,,,,,,,,,,,
0.409359,,,,,,,,,,,,,,,,,,,,,,,,
0.411337,,,,,,,,,,,,,,,,,,,,,,,,
0.413314,,,,,,,,,,,,,,,,,,,,,,,,
0.415292,,,,,,,,,,,,,,,,,,,,,,,,
0.41727,,,,,,,,,,,,,,,,,,,,,,,,
0.419247,,,,,,,,,,,,,,,,,,,,,,,,
0.421225,,,,,,,,,,,,,,,,,,,,,,,,
0.423202,,,,,,,,,,,,,,,,,,,,,,,,
0.42518,,,,,,,,,,,,,,,,,,,,,,,,
0.427158,,,,,,,,,,,,,,,,,,,,,,,,
0.429135,,,,,,,,,,,,,,,,,,,,,,,,
0.431113,,,,,,,,,,,,,,,,,,,,,,,,
0.43309,,,,,,,,,,,,,,,,,,,,,,,,
0.435068,,,,,,,,,,,,,,,,,,,,,,,,
0.437045,,,,,,,,,,,,,,,,,,,,,,,,
0.439023,,,,,,,,,,,,,,,,,,,,,,,,
0.441001,,,,,,,,,,,,,,,,,,,,,,,,
0.442978,,,,,,,,,,,,,,,,,,,,,,,,
0.444956,,,,,,,,,,,,,,,,,,,,,,,,
0.446933,,,,,,,,,,,,,,,,,,,,,,,,
0.448911,,,,,,,,,,,,,,,,,,,,,,,,
0.450888,,,,,,,,,,,,,,,,,,,,,,,,
0.452866,,,,,,,,,,,,,,,,,,,,,,,,
0.454844,,,,,,,,,,,,,,,,,,,,,,,,
0.456821,,,,,,,,,,,,,,,,,,,,,,,,
0.458799,,,,,,,,,,,,,,,,,,,,,,,,
0.460776,,,,,,,,,,,,,,,,,,,,,,,,
0.462754,,,,,,,,,,,,,,,,,,,,,,,,
0.464732,,,,,,,,,,,,,,,,,,,,,,,,
0.466709,,,,,,,,,,,,,,,,,,,,,,,,
0.468687,,,,,,,,,,,,,,,,,,,,,,,,
0.470664,,,,,,,,,,,,,,,,,,,,,,,,
0.472642,,,,,,,,,,,,,,,,,,,,,,,,
0.474619,,,,,,,,,,,,,,,,,,,,,,,,
0.476597,,,,,,,,,,,,,,,,,,,,,,,,
0.478575,,,,,,,,,,,,,,,,,,,,,,,,
0.480552,,,,,,,,,,,,,,,,,,,,,,,,
0.48253,,,,,,,,,,,,,,,,,,,,,,,,
0.484507,,,,,,,,,,,,,,,,,,,,,,,,
0.486485,,,,,,,,,,,,,,,,,,,,,,,,
0.488463,,,,,,,,,,,,,,,,,,,,,,,,
0.49044,,,,,,,,,,,,,,,,,,,,,,,,
0.492418,,,,,,,,,,,,,,,,,,,,,,,,
0.494395,,,,,,,,,,,,,,,,,,,,,,,,
0.496373,,,,,,,,,,,,,,,,,,,,,,,,
0.49835,,,,,,,,,,,,,,,,,,,,,,,,
0.500328,,,,,,,,,,,,,,,,,,,,,,,,
0.502306,,,,,,,,,,,,,,,,,,,,,,,,
0.504283,,,,,,,,,,,,,,,,,,,,,,,,
0.506261,,,,,,,,,,,,,,,,,,,,,,,,
0.508238,,,,,,,,,,,,,,,,,,,,,,,,
0.510216,,,,,,,,,,,,,,,,,,,,,,,,
0.512194,,,,,,,,,,,,,,,,,,,,,,,,
0.514171,,,,,,,,,,,,,,,,,,,,,,,,
0.516149,,,,,,,,,,,,,,,,,,,,,,,,
0.518126,,,,,,,,,,,,,,,,,,,,,,,,
0.520104,,,,,,,,,,,,,,,,,,,,,,,,
0.522081,,,,,,,,,,,,,,,,,,,,,,,,
0.524059,,,,,,,,,,,,,,,,,,,,,,,,
0.526037,,,,,,,,,,,,,,,,,,,,,,,,
0.528014,,,,,,,,,,,,,,,,,,,,,,,,
0.529992,,,,,,,,,,,,,,,,,,,,,,,,
0.531969,,,,,,,,,,,,,,,,,,,,,,,,
0.533947,,,,,,,,,,,,,,,,,,,,,,,,
0.535924,,,,,,,,,,,,,,,,,,,,,,,,
0.537902,,,,,,,,,,,,,,,,,,,,,,,,
0.53988,,,,,,,,,,,,,,,,,,,,,,,,
0.541857,,,,,,,,,,,,,,,,,,,,,,,,
0.543835,,,,,,,,,,,,,,,,,,,,,,,,
0.545812,,,,,,,,,,,,,,,,,,,,,,,,
0.54779,,,,,,,,,,,,,,,,,,,,,,,,
0.549768,,,,,,,,,,,,,,,,,,,,,,,,
0.551745,,,,,,,,,,,,,,,,,,,,,,,,
0.553723,,,,,,,,,,,,,,,,,,,,,,,,
0.5557,,,,,,,,,,,,,,,,,,,,,,,,
0.557678,,,,,,,,,,,,,,,,,,,,,,,,
0.559655,,,,,,,,,,,,,,,,,,,,,,,,
0.561633,,,,,,,,,,,,,,,,,,,,,,,,
0.563611,,,,,,,,,,,,,,,,,,,,,,,,
0.565588,,,,,,,,,,,,,,,,,,,,,,,,
0.567566,,,,,,,,,,,,,,,,,,,,,,,,
0.569543,,,,,,,,,,,,,,,,,,,,,,,,
