Frame,Event,Time (s),Club:CH,,,,,,
,,,X,Y,Z,,,,
478,,-0.593,34.7,-102.6,108.1,,,,
479,,-0.592,34.0,-102.7,109.1,,,,
480,,-0.591,33.2,-102.8,110.0,,,,
481,,-0.59,32.5,-102.8,111.0,,,,
482,,-0.589,31.8,-102.9,112.0,,,,
483,,-0.588,31.1,-102.9,112.9,,,,
484,,-0.587,30.3,-102.9,113.9,,,,
485,,-0.586,29.6,-103.0,114.9,,,,
486,,-0.585,28.9,-103.0,115.9,,,,
487,,-0.584,28.2,-103.0,116.8,,,,
488,,-0.583,27.4,-103.0,117.8,,,,
489,,-0.582,26.7,-102.9,118.8,,,,
490,,-0.581,26.0,-102.9,119.8,,,,
491,,-0.58,25.3,-102.9,120.8,,,,
492,,-0.579,24.5,-102.8,121.8,,,,
493,,-0.578,23.8,-102.7,122.8,,,,
494,,-0.577,23.1,-102.7,123.8,,,,
495,,-0.576,22.3,-102.6,124.7,,,,
496,,-0.575,21.6,-102.5,125.7,,,,
497,,-0.574,20.9,-102.4,126.7,,,,
498,,-0.573,20.2,-102.3,127.7,,,,
499,,-0.572,19.4,-102.1,128.7,,,,
500,,-0.571,18.7,-102.0,129.7,,,,
501,,-0.57,18.0,-101.8,130.7,,,,
502,,-0.569,17.3,-101.7,131.7,,,,
503,,-0.568,16.6,-101.5,132.7,,,,
504,,-0.567,15.8,-101.3,133.7,,,,
505,,-0.566,15.1,-101.1,134.7,,,,
506,,-0.565,14.4,-100.9,135.7,,,,
507,,-0.564,13.7,-100.6,136.7,,,,
508,,-0.563,13.0,-100.4,137.7,,,,
509,,-0.562,12.3,-100.2,138.7,,,,
510,,-0.561,11.6,-99.9,139.8,,,,
511,,-0.56,10.9,-99.6,140.8,,,,
512,,-0.559,10.2,-99.3,141.8,,,,
513,,-0.558,9.5,-99.0,142.8,,,,
514,,-0.557,8.8,-98.7,143.8,,,,
515,,-0.556,8.2,-98.4,144.8,,,,
516,,-0.555,7.5,-98.1,145.8,,,,
517,,-0.554,6.8,-97.8,146.8,,,,
518,,-0.553,6.1,-97.4,147.8,,,,
519,,-0.552,5.4,-97.0,148.8,,,,
520,,-0.551,4.7,-96.7,149.8,,,,
521,,-0.55,4.1,-96.3,150.8,,,,
522,,-0.549,3.4,-95.9,151.8,,,,
523,,-0.548,2.7,-95.5,152.8,,,,
524,,-0.547,2.1,-95.0,153.8,,,,
525,,-0.546,1.4,-94.6,154.8,,,,
526,,-0.545,0.8,-94.2,155.8,,,,
527,,-0.544,0.1,-93.7,156.8,,,,
528,,-0.543,-0.5,-93.2,157.8,,,,
529,,-0.542,-1.2,-92.7,158.8,,,,
530,,-0.541,-1.8,-92.2,159.8,,,,
531,,-0.54,-2.5,-91.7,160.8,,,,
532,,-0.539,-3.1,-91.2,161.8,,,,
533,,-0.538,-3.7,-90.7,162.8,,,,
534,,-0.537,-4.4,-90.1,163.8,,,,
535,,-0.536,-5.0,-89.6,164.8,,,,
536,,-0.535,-5.6,-89.0,165.8,,,,
537,,-0.534,-6.2,-88.4,166.7,,,,
538,,-0.533,-6.8,-87.8,167.7,,,,
539,,-0.532,-7.4,-87.2,168.7,,,,
540,,-0.531,-8.0,-86.6,169.7,,,,
541,,-0.53,-8.6,-86.0,170.6,,,,
542,,-0.529,-9.2,-85.4,171.6,,,,
543,,-0.528,-9.8,-84.7,172.6,,,,
544,,-0.527,-10.4,-84.0,173.5,,,,
545,,-0.526,-11.0,-83.4,174.5,,,,
546,,-0.525,-11.6,-82.7,175.5,,,,
547,,-0.524,-12.2,-82.0,176.4,,,,
548,,-0.523,-12.7,-81.3,177.4,,,,
549,,-0.522,-13.3,-80.5,178.3,,,,
550,,-0.521,-13.9,-79.8,179.2,,,,
551,,-0.52,-14.4,-79.1,180.2,,,,
552,,-0.519,-15.0,-78.3,181.1,,,,
553,,-0.518,-15.6,-77.5,182.0,,,,
554,,-0.517,-16.1,-76.7,182.9,,,,
555,,-0.516,-16.7,-76.0,183.8,,,,
556,,-0.515,-17.2,-75.2,184.7,,,,
557,,-0.514,-17.7,-74.3,185.6,,,,
558,,-0.513,-18.3,-73.5,186.5,,,,
559,,-0.512,-18.8,-72.7,187.4,,,,
560,,-0.511,-19.3,-71.8,188.3,,,,
561,,-0.51,-19.8,-71.0,189.2,,,,
562,,-0.509,-20.3,-70.1,190.1,,,,
563,,-0.508,-20.8,-69.2,190.9,,,,
564,,-0.507,-21.3,-68.3,191.8,,,,
565,,-0.506,-21.8,-67.4,192.7,,,,
566,,-0.505,-22.2,-66.5,193.5,,,,
567,,-0.504,-22.7,-65.6,194.4,,,,
568,,-0.503,-23.2,-64.7,195.2,,,,
569,,-0.502,-23.6,-63.7,196.1,,,,
570,,-0.501,-24.1,-62.8,196.9,,,,
571,,-0.5,-24.5,-61.8,197.7,,,,
572,,-0.499,-24.9,-60.9,198.5,,,,
573,,-0.498,-25.4,-59.9,199.3,,,,
574,,-0.497,-25.8,-58.9,200.1,,,,
575,,-0.496,-26.2,-57.9,200.9,,,,
576,,-0.495,-26.6,-56.9,201.7,,,,
577,,-0.494,-27.0,-55.8,202.5,,,,
